L2_strength,Train_Loss,Train_Reg_Loss,Test_Loss,Test_Accuracy
0.0000,0.009980488,0.009980488,0.106987055,97.700000000
0.0002,0.046738190,0.239886823,0.086527434,97.260000000
0.0004,0.072951518,0.320133306,0.097133151,97.180000000
0.0006,0.094183391,0.391977665,0.106100237,96.880000000
0.0008,0.111655776,0.456193691,0.103001687,97.220000000
0.0010,0.128128897,0.508436453,0.128995650,96.630000000
0.0012,0.141829909,0.562717824,0.161535804,95.740000000
0.0014,0.153334674,0.604322448,0.159827636,95.690000000
0.0016,0.168348228,0.648246128,0.155713587,96.100000000
0.0018,0.181786840,0.691958026,0.166979772,95.800000000
0.0020,0.192911795,0.736249015,0.171961462,95.810000000
0.0022,0.205806255,0.772622747,0.186767187,95.260000000
0.0024,0.214376089,0.799073306,0.244424922,93.020000000
0.0026,0.229186498,0.832683013,0.214696827,94.660000000
0.0028,0.237742153,0.866533004,0.218571519,94.350000000
0.0030,0.248628803,0.898902515,0.267140736,93.460000000
0.0032,0.260725138,0.922670743,0.236515913,94.050000000
0.0034,0.273048528,0.955645428,0.255107778,93.500000000
0.0036,0.281578971,0.979789347,0.262941900,93.410000000
0.0038,0.290952240,1.005440839,0.265856654,93.140000000
0.0040,0.299255522,1.029222990,0.286725326,92.360000000
0.0042,0.310659237,1.058511355,0.288577023,92.940000000
0.0044,0.316619409,1.076409900,0.298863678,92.700000000
0.0046,0.326407646,1.102055904,0.319488274,91.670000000
0.0048,0.333839054,1.126462711,0.325543227,91.960000000
0.0050,0.340152281,1.145500868,0.338470125,91.450000000
0.0052,0.349462158,1.171740326,0.326724609,92.210000000
0.0054,0.357942795,1.196814042,0.367374382,90.200000000
0.0056,0.364930810,1.209409631,0.355292425,91.360000000
0.0058,0.374096264,1.246150637,0.362823224,91.030000000
0.0060,0.381464334,1.256775125,0.356426245,91.470000000
0.0062,0.387269233,1.278627366,0.380898418,90.120000000
0.0064,0.395589733,1.305399499,0.373286074,90.620000000
0.0066,0.401176863,1.309610225,0.384397132,90.690000000
0.0068,0.408202256,1.337125669,0.385963182,90.860000000
0.0070,0.414718396,1.366943554,0.387977766,90.740000000
0.0072,0.422108201,1.378998704,0.405891632,90.110000000
0.0074,0.427943158,1.399474204,0.421458139,89.550000000
0.0076,0.434467578,1.419723224,0.419662766,89.130000000
0.0078,0.440241009,1.421139272,0.422653180,90.390000000
0.0080,0.447784175,1.444092403,0.431741311,89.500000000
0.0082,0.454292560,1.458048021,0.433799605,89.270000000
0.0084,0.459351675,1.475813262,0.441199516,89.380000000
0.0086,0.467126454,1.504637797,0.478934987,87.600000000
0.0088,0.478383563,1.525127087,0.456588720,88.760000000
0.0090,0.483809822,1.518016952,0.463403713,89.090000000
0.0092,0.488479513,1.543501895,0.498952071,86.840000000
0.0094,0.494362501,1.546641482,0.482928689,88.460000000
0.0096,0.497826339,1.574496310,0.482274847,88.830000000
0.0098,0.505113136,1.603099837,0.493458032,87.610000000
0.0100,0.509158471,1.611887735,0.522899176,86.430000000
0.0102,0.512522418,1.611646736,0.503174624,87.750000000
0.0104,0.517014413,1.640484506,0.503462279,88.320000000
0.0106,0.521860388,1.656341012,0.500989851,88.340000000
0.0108,0.526605966,1.666599063,0.514445248,88.560000000
0.0110,0.531429407,1.676719393,0.505879801,88.810000000
0.0112,0.537614687,1.688197560,0.517481618,88.400000000
0.0114,0.544150712,1.718348190,0.525912872,87.510000000
0.0116,0.548342339,1.729128210,0.519254262,88.410000000
0.0118,0.555587985,1.731959993,0.532639961,87.900000000
0.0120,0.571072075,1.743850151,0.540525469,87.550000000
0.0122,0.576401949,1.746942580,0.578938036,85.440000000
0.0124,0.581556584,1.760377467,0.552470462,86.730000000
0.0126,0.586401677,1.793630525,0.547272306,87.270000000
0.0128,0.587834637,1.791423504,0.568563238,86.070000000
0.0130,0.589809697,1.796856206,0.576330052,86.700000000
0.0132,0.597720960,1.829287748,0.569478324,86.990000000
0.0134,0.600309282,1.838519295,0.570718213,86.060000000
0.0136,0.603739439,1.840229936,0.610574091,84.960000000
0.0138,0.606995596,1.869085677,0.577174329,86.770000000
0.0140,0.612363516,1.853462149,0.598738865,86.110000000
0.0142,0.617287271,1.878826920,0.603211130,85.990000000
0.0144,0.620302909,1.903134586,0.602453248,86.270000000
0.0146,0.625165679,1.925673110,0.598164180,86.030000000
0.0148,0.628854111,1.933891129,0.591358521,87.400000000
0.0150,0.631314743,1.949606369,0.594933324,86.740000000
0.0152,0.634874630,1.960503493,0.610606488,86.470000000
0.0154,0.639247714,1.966724260,0.616828989,85.700000000
0.0156,0.643419131,1.989331411,0.615428043,86.020000000
0.0158,0.650099658,2.021195311,0.620767225,86.360000000
0.0160,0.654252303,2.016967147,0.650081865,84.600000000
0.0162,0.655320474,2.011134604,0.636885821,86.300000000
0.0164,0.660657403,2.034336828,0.636966794,85.910000000
0.0166,0.665967418,2.053183693,0.628882818,86.270000000
0.0168,0.666555279,2.060077545,0.646315522,85.140000000
0.0170,0.671781159,2.061279931,0.677451510,83.790000000
0.0172,0.674337152,2.085543533,0.638256893,85.790000000
0.0174,0.679719991,2.099111663,0.653342066,85.730000000
0.0176,0.681838756,2.107158788,0.661190068,85.390000000
0.0178,0.685827736,2.112626912,0.679377296,85.360000000
0.0180,0.690281274,2.132086877,0.675868053,84.900000000
0.0182,0.693917851,2.138167943,0.675062823,85.850000000
0.0184,0.699418551,2.148532821,0.682601736,85.000000000
0.0186,0.703440313,2.163347320,0.692312510,85.120000000
0.0188,0.709900889,2.187145829,0.684997827,85.690000000
0.0190,0.711523852,2.201794315,0.668445482,85.910000000
0.0192,0.714790838,2.196227899,0.678427798,86.070000000
0.0194,0.719272846,2.213579930,0.684670638,84.990000000
0.0196,0.722034475,2.214578991,0.711589386,84.670000000
0.0198,0.729789440,2.230758659,0.703427739,84.750000000
0.0200,0.731039821,2.238260279,0.703500315,85.240000000
0.0202,0.735779435,2.240188583,0.720489152,84.210000000
0.0204,0.738858333,2.259959325,0.710549057,85.920000000
0.0206,0.744108502,2.298336476,0.713845527,84.210000000
0.0208,0.749743590,2.305782494,0.712664662,84.710000000
0.0210,0.753079095,2.287994012,0.735326055,82.760000000
0.0212,0.756331974,2.293905354,0.733702560,85.520000000
0.0214,0.761623197,2.315903995,0.736556624,84.680000000
0.0216,0.767578941,2.329012639,0.758390830,83.310000000
0.0218,0.773461293,2.356168203,0.736780366,84.630000000
0.0220,0.777567063,2.356580338,0.749883324,85.250000000
0.0222,0.780234096,2.346663331,0.754730155,83.890000000
0.0224,0.784404541,2.374589722,0.758915875,82.950000000
0.0226,0.787705330,2.360821167,0.766402865,83.760000000
0.0228,0.793001770,2.380654074,0.766810012,84.660000000
0.0230,0.798420362,2.386294935,0.766048505,84.990000000
0.0232,0.803934393,2.402037945,0.801621129,80.900000000
0.0234,0.806795360,2.401285985,0.787505049,83.460000000
0.0236,0.810479201,2.412555708,0.788887494,82.620000000
0.0238,0.818966793,2.440229940,0.795494614,80.690000000
0.0240,0.820807549,2.430098259,0.822318758,77.710000000
0.0242,0.829838519,2.446816968,0.809559050,82.250000000
0.0244,0.831370324,2.450965747,0.824263036,82.920000000
0.0246,0.839662922,2.462618231,0.834772338,80.940000000
0.0248,0.842648000,2.475631466,0.821172091,81.810000000
0.0250,0.857251067,2.465165229,0.828196218,80.370000000
0.0252,0.896797876,2.405535307,0.872035930,79.090000000
0.0254,0.896301092,2.409018447,0.879736481,79.260000000
0.0256,0.902533718,2.430630007,0.884954301,78.380000000
0.0258,0.904966822,2.443869346,0.880335296,78.050000000
0.0260,0.907195593,2.447066977,0.897014137,78.010000000
0.0262,0.911444643,2.451657614,0.881920887,77.750000000
0.0264,0.915009885,2.446736789,0.888719076,78.620000000
0.0266,0.919017856,2.466981104,0.896813429,79.030000000
0.0268,0.922506546,2.481713379,0.892636876,79.900000000
0.0270,0.926800617,2.471386341,0.912704123,80.030000000
0.0272,0.929238467,2.497566598,0.897498383,78.770000000
0.0274,0.933717219,2.494362034,0.907448010,80.160000000
0.0276,0.939160006,2.505036863,0.934902427,76.010000000
0.0278,0.941460996,2.515448078,0.907924575,79.300000000
0.0280,0.944875505,2.510932817,0.947343442,76.200000000
0.0282,0.948403298,2.518074783,0.924792667,77.550000000
0.0284,0.953159797,2.552170237,0.933646714,76.220000000
0.0286,0.957644036,2.527376808,0.941547823,77.480000000
0.0288,0.961932531,2.544623400,0.941662764,77.690000000
0.0290,0.963039083,2.542025605,0.948974489,77.570000000
0.0292,0.967358512,2.563729810,0.940319521,77.560000000
0.0294,0.970464197,2.559770591,0.959516466,76.680000000
0.0296,0.974948267,2.577594663,0.991875179,76.300000000
0.0298,0.978280776,2.568219748,0.960850631,76.260000000
0.0300,0.982118656,2.611530277,0.946532971,79.360000000
0.0302,0.986933620,2.597729277,0.953625014,77.940000000
0.0304,0.988259061,2.583889127,0.966267186,78.890000000
0.0306,0.993314239,2.647687789,0.947352569,77.460000000
0.0308,0.995683609,2.624722379,1.000584249,76.020000000
0.0310,1.000731846,2.612794403,0.972427511,78.500000000
0.0312,1.006220293,2.640024770,0.975690129,77.390000000
0.0314,1.007685204,2.658354327,1.004224303,72.020000000
0.0316,1.012807469,2.678012493,0.994019570,74.360000000
0.0318,1.016944014,2.658549868,1.018227286,72.420000000
0.0320,1.017663438,2.639051133,1.010115390,77.720000000
0.0322,1.024249716,2.672035804,1.003080589,74.890000000
0.0324,1.026726554,2.679741816,0.983146319,78.340000000
0.0326,1.031751320,2.672499431,1.007651525,78.310000000
0.0328,1.036302179,2.681966581,1.016092691,78.710000000
0.0330,1.040050242,2.693588114,1.011550248,77.260000000
0.0332,1.041563239,2.670927481,1.026661477,75.940000000
0.0334,1.049835851,2.688513413,1.037478567,75.860000000
0.0336,1.051051215,2.727740485,1.014920852,76.110000000
0.0338,1.055733310,2.704788279,1.034130421,77.060000000
0.0340,1.061883127,2.715858537,1.058867297,71.000000000
0.0342,1.064256007,2.737002399,1.044696080,73.650000000
0.0344,1.065450955,2.732102374,1.042316707,75.700000000
0.0346,1.072994651,2.732952696,1.037011066,76.320000000
0.0348,1.075579116,2.727609234,1.075818681,74.760000000
0.0350,1.079527198,2.747022239,1.065962630,71.540000000
0.0352,1.084729271,2.738631639,1.053418025,76.370000000
0.0354,1.088571347,2.755515895,1.061645564,75.860000000
0.0356,1.090076728,2.737527486,1.075600353,77.350000000
0.0358,1.097526422,2.749782923,1.088992899,73.140000000
0.0360,1.100499558,2.727185426,1.105112764,74.950000000
0.0362,1.107705759,2.754749693,1.092945957,76.290000000
0.0364,1.111619731,2.804201679,1.086660603,69.430000000
0.0366,1.114767876,2.788672808,1.095728000,74.300000000
0.0368,1.122750653,2.786058459,1.109265820,71.370000000
0.0370,1.126175316,2.783586720,1.121394376,76.010000000
0.0372,1.134235249,2.803339609,1.106926140,75.160000000
0.0374,1.136836746,2.814907223,1.113197096,74.730000000
0.0376,1.221931799,2.675958297,1.239173041,62.280000000
0.0378,1.222864558,2.692713601,1.196818509,65.690000000
0.0380,1.223732278,2.707214478,1.206547097,61.720000000
0.0382,1.228926199,2.707752355,1.205093688,63.450000000
0.0384,1.231913433,2.714646148,1.210283104,63.930000000
0.0386,1.233307731,2.699927942,1.236655248,61.020000000
0.0388,1.238270755,2.720584123,1.234640235,62.740000000
0.0390,1.239059651,2.709874734,1.222444634,64.390000000
0.0392,1.242090768,2.747844857,1.246791007,61.140000000
0.0394,1.246865966,2.695990854,1.243262071,65.410000000
0.0396,1.250821426,2.714894654,1.236711876,65.800000000
0.0398,1.254324058,2.728086430,1.226896574,66.190000000
0.0400,1.257234435,2.717813964,1.240903568,67.860000000
0.0402,1.261531194,2.748488316,1.232545031,63.110000000
0.0404,1.261005188,2.724514699,1.275821379,60.260000000
0.0406,1.265477785,2.762283894,1.271946124,63.350000000
0.0408,1.270514287,2.764377250,1.249852859,64.680000000
0.0410,1.271916913,2.747469601,1.248180887,65.670000000
0.0412,1.273804465,2.752894272,1.250209739,66.440000000
0.0414,1.276404705,2.786244436,1.254966681,63.000000000
0.0416,1.279640295,2.787635217,1.249620574,63.480000000
0.0418,1.284656779,2.787595469,1.265395458,62.830000000
0.0420,1.285597051,2.788195340,1.253292814,61.640000000
0.0422,1.287968547,2.761092948,1.281421653,62.430000000
0.0424,1.292541071,2.801084464,1.267912261,64.030000000
0.0426,1.293854427,2.780383397,1.311971857,63.090000000
0.0428,1.297331781,2.763134309,1.298134569,67.050000000
0.0430,1.302201228,2.795136839,1.293695720,63.670000000
0.0432,1.303627855,2.815240092,1.275697951,64.160000000
0.0434,1.306350596,2.799735319,1.300415308,63.240000000
0.0436,1.310618604,2.797720992,1.305744383,58.910000000
0.0438,1.314317814,2.817423025,1.291283972,61.790000000
0.0440,1.317764256,2.780829549,1.325174042,60.690000000
0.0442,1.320995972,2.816140420,1.294720985,64.680000000
0.0444,1.324935230,2.828990989,1.308924233,59.600000000
0.0446,1.328571655,2.825746003,1.314479700,61.780000000
0.0448,1.330520898,2.865326611,1.302311931,60.700000000
0.0450,1.333795860,2.835540741,1.317437921,62.430000000
0.0452,1.335706607,2.809067736,1.353072888,61.890000000
0.0454,1.339759062,2.855340135,1.306130528,61.730000000
0.0456,1.342736274,2.828433933,1.330241500,63.100000000
0.0458,1.345836250,2.816473929,1.350631918,61.030000000
0.0460,1.350045830,2.862800499,1.344901456,58.400000000
0.0462,1.352811423,2.840179697,1.340736250,62.440000000
0.0464,1.356661443,2.816673204,1.374065542,63.990000000
0.0466,1.361328887,2.864839461,1.360050985,61.240000000
0.0468,1.363431598,2.850866223,1.359544158,60.900000000
0.0470,1.364576038,2.851265872,1.362343412,62.500000000
0.0472,1.370605554,2.882949233,1.348478168,63.210000000
0.0474,1.372117609,2.858574766,1.357500912,63.760000000
0.0476,1.374860598,2.862538819,1.375106976,61.570000000
0.0478,1.381140454,2.916805896,1.354737601,59.410000000
0.0480,1.384236449,2.885631072,1.359985448,62.200000000
0.0482,1.388331988,2.895816480,1.366537717,62.400000000
0.0484,1.390552745,2.897639815,1.383328059,57.540000000
0.0486,1.391748954,2.908316029,1.373826953,61.130000000
0.0488,1.396140239,2.899802526,1.370822772,64.870000000
0.0490,1.398694160,2.894197453,1.398951096,57.520000000
0.0492,1.401772694,2.870837897,1.389970937,63.190000000
0.0494,1.404593318,2.872942192,1.396214268,63.360000000
0.0496,1.411395044,2.889414838,1.391696866,65.990000000
